threshold,fpr,fnr
0.99746275,0.00635083,0.96153846
0.99746251,0.00636046,0.96153846
0.99745655,0.00637010,0.96153846
0.99745464,0.00637974,0.96153846
0.99745286,0.00638938,0.96153846
0.99745274,0.00639901,0.96153846
0.99745190,0.00640865,0.96153846
0.99745095,0.00641829,0.96153846
0.99744940,0.00642792,0.96153846
0.99743730,0.00643756,0.96153846
0.99743533,0.00644720,0.96153846
0.99743366,0.00645684,0.96153846
0.99743164,0.00646647,0.96153846
0.99743152,0.00647611,0.96153846
0.99742806,0.00648575,0.96153846
0.99742544,0.00649538,0.96153846
0.99742246,0.00650502,0.96153846
0.99741995,0.00651466,0.96153846
0.99741918,0.00652430,0.96153846
0.99741864,0.00653393,0.96153846
0.99741679,0.00654357,0.96153846
0.99741381,0.00655321,0.96153846
0.99741256,0.00656284,0.96153846
0.99740338,0.00657248,0.96153846
0.99739921,0.00658212,0.96153846
0.99739432,0.00659175,0.96153846
0.99739408,0.00660139,0.96153846
0.99739051,0.00661103,0.96153846
0.99738032,0.00662067,0.96153846
0.99737620,0.00663030,0.96153846
0.99737549,0.00663994,0.96153846
0.99737507,0.00664958,0.96153846
0.99737340,0.00665921,0.96153846
0.99736774,0.00666885,0.96153846
0.99736750,0.00667849,0.96153846
0.99736559,0.00668813,0.96153846
0.99736416,0.00669776,0.96153846
0.99736363,0.00670740,0.96153846
0.99736005,0.00671704,0.96153846
0.99735135,0.00672667,0.96153846
0.99735081,0.00673631,0.96153846
0.99734563,0.00674595,0.96153846
0.99734390,0.00675558,0.96153846
0.99734265,0.00676522,0.96153846
0.99733996,0.00677486,0.96153846
0.99733961,0.00678450,0.96153846
0.99733686,0.00679413,0.96153846
0.99733639,0.00680377,0.96153846
0.99733591,0.00682304,0.96153846
0.99733305,0.00683268,0.96153846
0.99733108,0.00684232,0.96153846
0.99733055,0.00685196,0.96153846
0.99732548,0.00687123,0.96153846
0.99731898,0.00688087,0.96153846
0.99731636,0.00689050,0.96153846
0.99731588,0.00690014,0.96153846
0.99731576,0.00690978,0.96153846
0.99731529,0.00691941,0.96153846
0.99730974,0.00692905,0.96153846
0.99730945,0.00693869,0.96153846
0.99730480,0.00694833,0.96153846
0.99730408,0.00695796,0.96153846
0.99730265,0.00696760,0.96153846
0.99730134,0.00697724,0.96153846
0.99730092,0.00698687,0.96153846
0.99730027,0.00699651,0.96153846
0.99729884,0.00700615,0.96153846
0.99729657,0.00701579,0.96153846
0.99729145,0.00702542,0.96153846
0.99728894,0.00703506,0.96153846
0.99728775,0.00704470,0.96153846
0.99728692,0.00705433,0.96153846
0.99728507,0.00706397,0.96153846
0.99728352,0.00707361,0.96153846
0.99728334,0.00708324,0.96153846
0.99728239,0.00709288,0.96153846
0.99728107,0.00710252,0.96153846
0.99727273,0.00711216,0.96153846
0.99727178,0.00712179,0.96153846
0.99726617,0.00713143,0.96153846
0.99726486,0.00714107,0.96153846
0.99726337,0.00715070,0.96153846
0.99726188,0.00715070,0.95857988
0.99725449,0.00716034,0.95857988
0.99724889,0.00716998,0.95857988
0.99724853,0.00717962,0.95857988
0.99724638,0.00718925,0.95857988
0.99724627,0.00719889,0.95857988
0.99724555,0.00720853,0.95857988
0.99724305,0.00721816,0.95857988
0.99723965,0.00722780,0.95857988
0.99722672,0.00723744,0.95857988
0.99722654,0.00724708,0.95857988
0.99722421,0.00725671,0.95857988
0.99722266,0.00726635,0.95857988
0.99722087,0.00727599,0.95857988
0.99721926,0.00728562,0.95857988
0.99721539,0.00729526,0.95857988
0.99721402,0.00730490,0.95857988
0.99721384,0.00731453,0.95857988
0.99721253,0.00732417,0.95857988
0.99720955,0.00733381,0.95857988
0.99720943,0.00734345,0.95857988
0.99720228,0.00735308,0.95857988
0.99720168,0.00736272,0.95857988
0.99719596,0.00737236,0.95857988
0.99719518,0.00738199,0.95857988
0.99719357,0.00739163,0.95857988
0.99719232,0.00740127,0.95857988
0.99719226,0.00741091,0.95857988
